id,member_id,feedback_type,rating,feedback_text,sentiment_score,timestamp,coach_id,session_id,package_id
21,111,class_review,5,"First time trying HIIT and I loved it! The energy was amazing and I felt so accomplished after.",0.9,2024-01-21 12:00:00,201,1021,301
22,112,class_review,4,"Great yoga session for beginners. The instructor was very patient and explained everything clearly.",0.7,2024-01-21 14:30:00,202,1022,302
23,113,class_review,5,"Amazing strength training class! Perfect for my fitness level and the coach was very encouraging.",0.9,2024-01-21 16:00:00,203,1023,301
24,114,class_review,3,"The spin class was good but the bike setup was uncomfortable. Good workout though.",0.5,2024-01-22 09:15:00,204,1024,303
25,115,class_review,4,"Pilates was great today! Really felt it in my core and the instructor was very helpful.",0.7,2024-01-22 11:00:00,205,1025,302
26,116,class_review,5,"Boxing class exceeded my expectations! Such a great stress reliever and amazing workout.",0.9,2024-01-22 13:30:00,206,1026,304
27,117,class_review,2,"Zumba was disappointing again. The music choices were not great and the choreography was confusing.",0.3,2024-01-22 15:00:00,207,1027,305
28,118,class_review,4,"Functional training was challenging but fun! Great variety of exercises.",0.7,2024-01-23 10:00:00,208,1028,301
29,119,class_review,5,"Barre class was incredible! Such a great workout for toning and flexibility.",0.9,2024-01-23 12:30:00,209,1029,302
30,120,class_review,3,"Cardio kickboxing was okay. Good workout but the instructor could be more encouraging.",0.5,2024-01-23 14:00:00,210,1030,304
31,101,facility_review,4,"The gym is clean and well-maintained. Good variety of equipment. Could use more parking spaces.",0.7,2024-01-24 08:00:00,,,
32,102,facility_review,5,"Love the facility! Everything is clean, modern, and well-organized. Great atmosphere for working out.",0.9,2024-01-24 10:30:00,,,
33,103,facility_review,2,"The locker rooms need better maintenance. Showers are often cold and the changing area is cramped.",0.3,2024-01-24 12:00:00,,,
34,104,facility_review,4,"Good gym overall. Equipment is well-maintained but could use more variety in cardio machines.",0.7,2024-01-24 14:30:00,,,
35,105,facility_review,5,"Excellent facility! Clean, spacious, and has everything I need for my workouts.",0.9,2024-01-24 16:00:00,,,
36,106,service_review,4,"The membership signup process was smooth. Staff was helpful and friendly.",0.7,2024-01-25 09:00:00,,,
37,107,service_review,2,"Customer service was poor. Had to wait 30 minutes to speak with someone about my membership.",0.3,2024-01-25 11:00:00,,,
38,108,service_review,5,"Amazing customer service! The staff went above and beyond to help me with my package upgrade.",0.9,2024-01-25 13:00:00,,,
39,109,service_review,3,"Service was okay but could be faster. The app sometimes glitches when booking classes.",0.5,2024-01-25 15:00:00,,,
40,110,service_review,4,"Good service overall. Quick responses to emails and helpful staff at the front desk.",0.7,2024-01-25 17:00:00,,,
41,111,coach_review,5,"Coach Sarah is incredible! She's motivating, knowledgeable, and really cares about her students' progress.",0.9,2024-01-26 10:00:00,201,,
42,112,coach_review,4,"Coach Mike is good but sometimes moves too fast for beginners. Great knowledge though.",0.7,2024-01-26 12:00:00,203,,
43,113,coach_review,5,"Coach Alex is the best boxing instructor I've ever had. Patient, encouraging, and very skilled.",0.9,2024-01-26 14:00:00,206,,
44,114,coach_review,2,"Coach Emma needs to improve her communication. Her instructions are often unclear and rushed.",0.3,2024-01-26 16:00:00,205,,
45,115,coach_review,4,"Coach David is great! Very motivating and creates fun, challenging workouts.",0.7,2024-01-26 18:00:00,208,,
46,116,package_review,5,"The premium package is worth every penny! Great variety of classes and excellent value.",0.9,2024-01-27 09:00:00,,,301
47,117,package_review,3,"The basic package is okay but limited class access. Wish I had more options.",0.5,2024-01-27 11:00:00,,,302
48,118,package_review,4,"Good value for money with the standard package. Covers all my fitness needs.",0.7,2024-01-27 13:00:00,,,303
49,119,package_review,2,"The budget package is too restrictive. Can't access most classes and equipment.",0.3,2024-01-27 15:00:00,,,304
50,120,package_review,5,"Love the VIP package! Exclusive classes, personal training sessions, and amazing perks.",0.9,2024-01-27 17:00:00,,,305
